,log2FC
A2M,1.421434423
AASS,-1.810143109
ABCF1,-5.139870773
ADAM9,-2.134070338
AGO2,-4.707536641
AKT3,-6.692360581
Angptl4,-7.487006247
ANP32B,-8.634821228
ANXA1,3.53872278
APOE,-0.952408881
Areg,-8.256212414
ARL4D,4.602420587
Atf3,0.103267523
ATM,-1.407517626
BATF,-2.010727793
BCL2,-6.177816469
BCL6,-5.541286836
BHLHE40,-5.471889312
BLK,-3.640871557
BTLA,-5.543580287
BTNL3,3.70460059
CCL13,1.861134396
CCL17,1.72883445
Ccl2,1.903914437
CCL22,2.983148527
Ccl3,-6.305785775
Ccl4,-5.647808643
CCL7,-0.942670105
CCNG2,-2.817536504
CCR2,-7.431227046
CCR3,-3.305631069
CCR5,-4.044223826
CD14,-3.862732467
CD160,-0.430440134
CD163,0.409569248
CD19,0.415155509
CD1A,-5.554131567
CD1B,0.439133387
CD1E,-4.40624024
CD2,-0.486959407
CD209,-4.468326266
CD27,-2.288194743
CD274,-2.971376994
CD28,-7.344615454
Cd300lb,-5.611577126
CD33,-6.415471303
CD38,-3.426063127
CD3E,-4.519342736
CD3G,-5.714316854
CD4,-8.723969334
CD40,-6.542620208
CD40LG,-6.565539879
CD6,-4.98836601
CD62L,-0.806821191
CD68,-3.905692787
CD8A,-6.127873733
CD8B,-0.038528565
CD9,-4.762349335
CEBPB,2.597340312
CHIT1,-2.013230818
Cited2,3.17474453
CLTC,-7.974973062
CMA1,-4.973907707
CR2,0.863008983
CSF2,4.319135436
CSF3R,-4.981399059
CTLA4,-2.823891984
CTSG,-9.038649592
Cxcl10,-2.638741122
CXCL13,0.599243051
CXCL5,-2.932010222
CXCL8,-4.691275854
CXCR4,-3.669199948
CXCR6,-5.968601366
Ddit4,-1.092146341
DGCR8,-4.455714215
DICER1,-6.874310298
DOCK9,-5.829764781
DROSHA,-5.251497585
DUSP1,-8.442408199
Dusp5,-4.253826981
Egr2,-5.509226571
Egr3,-7.194470044
Enc1,-0.388706641
Ets1,-1.405417404
Etv3,-3.753967192
EWSR1,-7.387371229
F13A1,-5.036061769
FEZ1,-5.973583715
Fkbp5,-1.618323568
FLT3LG,-6.874895899
FOXP3,-1.326969523
FPR2,-2.974905581
FUT5,-0.227610748
Fzd4,-7.122679787
G6PD,0.5663846
GADD45A,-5.761356994
GAPDH,-3.522874171
GATA3,-9.376305717
GLP1R,-5.020955856
GNLY,0.855573177
Gpr84,-6.493984339
GSTM3,-1.991209954
GUSB,-4.423356847
GZMA,-7.435146169
GZMH,-4.231392958
GZMM,-4.430051963
HLA-DOB,0.162946552
HPRT1,-5.325502537
HPSE,-5.44379003
HSD11B1,-4.311608564
Hsp1a,4.63732355
ICOS,-3.886793596
Ier3,-4.677564845
Ier5,-0.740263748
Ifnb1,1.840242701
IFNG,-1.932908888
IL10,3.546182044
IL12b,-0.097984579
IL12RB2,3.05524164
IL13,-6.444143658
Il15ra,3.74258489
IL17A,-1.698559641
IL17RA,-1.315505342
IL1A,4.19023329
IL1B,2.666998461
Il1f9,-0.359875764
IL1R2,-3.235969907
Il1rn,1.015530824
IL2,-1.683678666
IL26,1.907344296
IL2RA,-5.882726829
IL3,3.924420331
IL3RA,-0.365775698
IL4,-8.840235232
IL4R,-3.966583307
IL5,-6.311015805
IL5RA,1.481775383
IL6,-3.311049427
IL7R,1.997172294
Irf1,-1.770788683
Jdp2,-5.968910867
JUN,-1.903897321
Junb,-4.093203296
Kcnk6,-6.815732438
KIR3DL1,-3.38632197
KIT,0.132131399
KLF15,1.960773367
Klf2,-4.100513262
Klf4,-6.002255403
Klf7,-3.130842518
Klf9,-8.551373869
KLRD1,-3.47293676
KLRF1,-5.019388236
LAIR2,2.833299975
LCN2,0.188081454
Lif,-4.594702751
LTA,-3.071031756
LTK,-0.771270955
LYZ,-11.73303255
MAF,0.94195356
MAP2K1,-4.682097258
MAPK1,-5.520061147
MAPK11,-6.271926606
MAPK12,-2.148927131
MAPK13,4.636571353
MAPK14,-4.359345509
MAPK8,-6.73601118
MARCO,-3.507402283
MME,0.340704346
MS4A1,0.02494526
MS4A2,-7.124208403
MSR1,-0.529260755
MT2A,-1.903311464
MUC1,-4.83495655
Mxd1,0.683225407
NCAM1,-5.132332079
NCR1,-3.51216275
NEFL,-3.870088664
NFATC4,-1.40480099
Nfil3,0.226785278
NFKB1,-3.847384431
NFKB2,-5.622440655
NFKBIA,-7.80798467
NLRP2,-3.244364181
NMUR1,-2.267534748
NR3C1,-6.090531643
NT5E,-3.312338024
NUMA1,-6.235959502
NUP107,-5.39075953
PDCD1,0.810663547
PDCD1LG2,1.640197519
Per1,0.582173799
Pfkfb3,-6.723071726
PMCH,-7.898683713
POLR2A,-0.118362705
Prdm1,-6.263722364
PRF1,2.36694286
PRG2,-1.667307617
PRKAA1,-1.737491735
PRODH,-5.326732992
PTGDR2,-5.497137832
Ptgs2,-4.835822989
PTX3,-1.749502038
RAB11A,-7.288731664
RAB8B,-6.19438941
Rasgef1b,-5.291054879
REL,-2.93755676
RELA,-3.391460661
RELB,-5.860357745
REPS1,-1.592114438
Rit1,-11.61488351
RORC,-3.617039625
RPL19,-4.710250617
SAAS,-3.867848007
Sik1,-1.130603524
SLPI,-5.610315772
SMAD2,-0.382676692
SMPD3,-5.677669819
STAT4,-7.66399743
STAT6,0.190585053
SYT17,-4.246096894
TARBP2,-2.605529117
TARP,-6.25938036
TAS1R3,0.330808393
TAS2R38,1.056633393
TBP,-4.714246809
TBX21,-5.156527878
TGFB1,-8.600023616
TGFB2,0.235955903
THBS1,-4.730448533
TLR2,-5.905818373
TLR4,-5.553513379
TNF,-3.846752235
Tnfaip2,-2.123331051
TNFRSF17,-1.994794478
TNFRSF18,0.266369974
TNFRSF4,-0.097723303
TNFRSF9,-5.020320814
Tnfsf4,-0.462911902
TOLLIP,-4.63770122
TPSAB1,-5.320306224
TRIO,-6.444780112
Tsc22d3,-4.059230092
TUBB,-8.684044894
USP9Y,4.197563524
VEGFA,-3.173694783
XPO5,-3.547152375
ZFP36,-8.671422762
ZNF205,3.085684129
